HARPN.2016-02-27T01-25-37.632_ccf_K5 573496.0 757.295 5108.23 71.4719
HARPN.2016-02-27T01-56-02.283_ccf_K5 492574.0 701.837 5218.41 72.2386
HARPN.2016-03-11T00-53-02.308_ccf_K5 924802.0 961.666 1573.81 39.6713
HARPN.2016-03-11T01-23-26.959_ccf_K5 932225.0 965.518 1442.03 37.974
HARPN.2016-03-13T03-28-08.551_ccf_K5 826675.0 909.217 1517.05 38.9494
HARPN.2016-03-13T03-58-34.826_ccf_K5 725409.0 851.709 1273.48 35.6858
HARPN.2016-03-14T02-28-07.777_ccf_K5 1.28526e+06 1133.69 1275.22 35.7102
HARPN.2016-03-14T02-58-32.826_ccf_K5 1.40603e+06 1185.76 1104.93 33.2405
HARPN.2016-03-15T03-18-29.661_ccf_K5 983484.0 991.708 1292.64 35.9534
HARPN.2016-03-15T03-48-54.731_ccf_K5 712936.0 844.355 1328.64 36.4505
HARPN.2016-03-16T04-23-32.291_ccf_K5 513681.0 716.715 1297.83 36.0254
HARPN.2016-03-25T00-48-55.727_ccf_K5 516425.0 718.627 9265.33 96.2566
HARPN.2016-03-25T01-19-20.808_ccf_K5 445467.0 667.433 9421.17 97.0627
HARPN.2016-03-28T00-21-18.277_ccf_K5 617547.0 785.842 2879.55 53.6615
HARPN.2016-03-28T00-51-44.075_ccf_K5 611548.0 782.015 3085.02 55.543
HARPN.2016-04-22T23-45-57.498_ccf_K5 915830.0 956.99 10905.8 104.431
HARPN.2016-04-23T00-16-22.543_ccf_K5 946711.0 972.991 11347.8 106.526
HARPN.2016-05-04T22-36-02.774_ccf_K5 889911.0 943.351 2135.58 46.2123
HARPN.2016-05-04T23-06-28.230_ccf_K5 807002.0 898.333 2204.16 46.9485
HARPN.2016-05-12T22-02-35.582_ccf_K5 845866.0 919.71 2869.99 53.5723
HARPN.2016-05-12T22-33-00.232_ccf_K5 922656.0 960.55 2785.36 52.7765
HARPN.2016-05-13T22-22-04.372_ccf_K5 664827.0 815.369 3587.27 59.8938
HARPN.2016-05-13T22-52-30.232_ccf_K5 629266.0 793.263 3970.16 63.0092
HARPN.2016-05-17T21-56-31.694_ccf_K5 569294.0 754.516 8565.18 92.5482
HARPN.2016-05-17T22-26-57.554_ccf_K5 568221.0 753.804 8953.22 94.6214
HARPN.2016-05-18T22-18-50.944_ccf_K5 387478.0 622.478 9256.69 96.2117
HARPN.2016-05-18T22-51-39.636_ccf_K5 453095.0 673.123 9907.07 99.5343
HARPN.2016-05-19T22-44-21.256_ccf_K5 720840.0 849.023 9804.55 99.0179
HARPN.2016-05-19T23-16-26.596_ccf_K5 698096.0 835.522 10614.7 103.028
HARPN.2016-05-20T22-19-14.046_ccf_K5 1.07706e+06 1037.82 11192.3 105.794
HARPN.2016-05-20T22-51-13.976_ccf_K5 998202.0 999.101 12569.7 112.114
HARPN.2016-05-22T21-26-20.267_ccf_K5 599997.0 774.595 5660.04 75.2332
HARPN.2016-05-22T23-06-01.697_ccf_K5 314359.0 560.677 9470.85 97.3183
HARPN.2016-06-09T21-43-00.940_ccf_K5 758980.0 871.195 2369.1 48.6734
HARPN.2016-06-09T22-13-25.294_ccf_K5 661591.0 813.382 2314.27 48.1069
HARPN.2016-06-10T21-24-57.027_ccf_K5 633448.0 795.895 3060.66 55.3233
HARPN.2016-06-10T21-55-22.081_ccf_K5 541770.0 736.051 3125.66 55.9076
HARPN.2016-06-17T21-10-36.120_ccf_K5 110330.0 332.159 5492.12 74.1088
HARPN.2016-06-18T21-12-27.915_ccf_K5 622673.0 789.096 7345.18 85.704
HARPN.2016-06-19T21-12-46.933_ccf_K5 442274.0 665.037 9951.95 99.7594
HARPN.2016-06-20T21-12-00.435_ccf_K5 687870.0 829.379 9411.61 97.0135
HARPN.2016-06-24T21-12-23.320_ccf_K5 162679.0 403.334 2781.05 52.7357
HARPN.2016-06-25T21-12-51.704_ccf_K5 729147.0 853.901 2811.54 53.024
